circuit,algorithm,input_tcount,output_tcount,time_s
adder_8,todd_exp_packedlocal_diff_1110,399,129,1076.875
adder_8,todd_exp_1110,399,131,853.917
adder_8,lx2_dynamic_repair_chi_packed_aa,399,129,495.062
csla_mux_3,todd_exp_packedlocal_diff_1110,70,49,1.815
csla_mux_3,todd_exp_1110,70,50,4.585
csla_mux_3,lx2_dynamic_repair_chi_packed_aa,70,49,1.556
csum_mux_9,todd_exp_packedlocal_diff_1110,196,72,10.237
csum_mux_9,todd_exp_1110,196,72,14.670
csum_mux_9,lx2_dynamic_repair_chi_packed_aa,196,72,8.994
gf2^6_mult,todd_exp_packedlocal_diff_1110,252,122,9.992
gf2^6_mult,todd_exp_1110,252,124,18.574
gf2^6_mult,lx2_dynamic_repair_chi_packed_aa,252,122,7.571
gf2^7_mult,todd_exp_packedlocal_diff_1110,343,164,40.667
gf2^7_mult,todd_exp_1110,343,170,64.528
gf2^7_mult,lx2_dynamic_repair_chi_packed_aa,343,164,29.764
gf2^8_mult,todd_exp_packedlocal_diff_1110,448,220,126.985
gf2^8_mult,todd_exp_1110,448,222,195.175
gf2^8_mult,lx2_dynamic_repair_chi_packed_aa,448,220,78.817
gf2^9_mult,todd_exp_packedlocal_diff_1110,567,281,536.581
gf2^9_mult,todd_exp_1110,567,275,475.858
gf2^9_mult,lx2_dynamic_repair_chi_packed_aa,567,281,224.765
grover_5,todd_exp_packedlocal_diff_1110,336,144,375.280
grover_5,todd_exp_1110,336,144,340.877
grover_5,lx2_dynamic_repair_chi_packed_aa,336,144,129.715
ham15-low,todd_exp_packedlocal_diff_1110,161,78,21.376
ham15-low,todd_exp_1110,161,75,27.442
ham15-low,lx2_dynamic_repair_chi_packed_aa,161,78,8.742
tof_10,todd_exp_packedlocal_diff_1110,119,55,2.591
tof_10,todd_exp_1110,119,55,4.090
tof_10,lx2_dynamic_repair_chi_packed_aa,119,55,1.777
