circuit,algorithm,input_tcount,output_tcount,time_s
adder_8,todd_exp_packedlocal_diff_1110,399,129,1074.460
adder_8,todd_exp_1110,399,131,857.125
adder_8,lx2_dynamic_repair_chi_packed_aa,399,129,500.197
csla_mux_3,todd_exp_packedlocal_diff_1110,70,49,1.542
csla_mux_3,todd_exp_1110,70,50,2.728
csla_mux_3,lx2_dynamic_repair_chi_packed_aa,70,49,1.024
csum_mux_9,todd_exp_packedlocal_diff_1110,196,72,10.780
csum_mux_9,todd_exp_1110,196,72,14.586
csum_mux_9,lx2_dynamic_repair_chi_packed_aa,196,72,6.274
gf2^6_mult,todd_exp_packedlocal_diff_1110,252,122,9.996
gf2^6_mult,todd_exp_1110,252,124,20.388
gf2^6_mult,lx2_dynamic_repair_chi_packed_aa,252,122,7.561
gf2^7_mult,todd_exp_packedlocal_diff_1110,343,164,40.140
gf2^7_mult,todd_exp_1110,343,170,64.835
gf2^7_mult,lx2_dynamic_repair_chi_packed_aa,343,164,30.020
gf2^8_mult,todd_exp_packedlocal_diff_1110,448,220,135.625
gf2^8_mult,todd_exp_1110,448,222,195.637
gf2^8_mult,lx2_dynamic_repair_chi_packed_aa,448,220,78.970
gf2^9_mult,todd_exp_packedlocal_diff_1110,567,281,547.426
gf2^9_mult,todd_exp_1110,567,275,476.495
gf2^9_mult,lx2_dynamic_repair_chi_packed_aa,567,281,224.089
grover_5,todd_exp_packedlocal_diff_1110,336,144,372.778
grover_5,todd_exp_1110,336,144,339.926
grover_5,lx2_dynamic_repair_chi_packed_aa,336,144,134.417
ham15-low,todd_exp_packedlocal_diff_1110,161,78,21.288
ham15-low,todd_exp_1110,161,75,27.328
ham15-low,lx2_dynamic_repair_chi_packed_aa,161,78,11.010
tof_10,todd_exp_packedlocal_diff_1110,119,55,2.482
tof_10,todd_exp_1110,119,55,6.125
tof_10,lx2_dynamic_repair_chi_packed_aa,119,55,1.745
