circuit,algorithm,input_tcount,output_tcount,time_s
adder_8,todd_exp_packedlocal_diff_1110,399,129,1055.076
adder_8,todd_exp_1110,399,131,855.290
adder_8,lx2_dynamic_repair_chi_packed_aa,399,129,496.996
csla_mux_3,todd_exp_packedlocal_diff_1110,70,49,1.545
csla_mux_3,todd_exp_1110,70,50,3.243
csla_mux_3,lx2_dynamic_repair_chi_packed_aa,70,49,.923
csum_mux_9,todd_exp_packedlocal_diff_1110,196,72,10.301
csum_mux_9,todd_exp_1110,196,72,14.526
csum_mux_9,lx2_dynamic_repair_chi_packed_aa,196,72,6.827
gf2^6_mult,todd_exp_packedlocal_diff_1110,252,122,10.518
gf2^6_mult,todd_exp_1110,252,124,18.260
gf2^6_mult,lx2_dynamic_repair_chi_packed_aa,252,122,7.577
gf2^7_mult,todd_exp_packedlocal_diff_1110,343,164,39.757
gf2^7_mult,todd_exp_1110,343,170,64.422
gf2^7_mult,lx2_dynamic_repair_chi_packed_aa,343,164,29.715
gf2^8_mult,todd_exp_packedlocal_diff_1110,448,220,129.107
gf2^8_mult,todd_exp_1110,448,222,195.361
gf2^8_mult,lx2_dynamic_repair_chi_packed_aa,448,220,79.247
gf2^9_mult,todd_exp_packedlocal_diff_1110,567,281,512.070
gf2^9_mult,todd_exp_1110,567,275,474.623
gf2^9_mult,lx2_dynamic_repair_chi_packed_aa,567,281,224.572
grover_5,todd_exp_packedlocal_diff_1110,336,144,372.316
grover_5,todd_exp_1110,336,144,339.097
grover_5,lx2_dynamic_repair_chi_packed_aa,336,144,130.170
ham15-low,todd_exp_packedlocal_diff_1110,161,78,21.968
ham15-low,todd_exp_1110,161,75,27.499
ham15-low,lx2_dynamic_repair_chi_packed_aa,161,78,8.611
tof_10,todd_exp_packedlocal_diff_1110,119,55,3.349
tof_10,todd_exp_1110,119,55,4.007
tof_10,lx2_dynamic_repair_chi_packed_aa,119,55,1.900
