circuit,flags,input_tcount,output_tcount,time_s
adder_8,0000,399,125,5589.932
adder_8,1000,399,128,671.621
adder_8,0100,399,125,5566.883
adder_8,0010,399,129,3146.968
adder_8,1110,399,131,539.688
barenco_tof_3,0000,28,14,.005
barenco_tof_3,1000,28,14,.005
barenco_tof_3,0100,28,14,.006
barenco_tof_3,0010,28,14,.003
barenco_tof_3,1110,28,14,.004
barenco_tof_4,0000,56,24,.078
barenco_tof_4,1000,56,24,.057
barenco_tof_4,0100,56,24,.078
barenco_tof_4,0010,56,24,.062
barenco_tof_4,1110,56,24,.050
barenco_tof_5,0000,84,34,.311
barenco_tof_5,1000,84,34,.338
barenco_tof_5,0100,84,34,.492
barenco_tof_5,0010,84,34,.402
barenco_tof_5,1110,84,34,.289
barenco_tof_10,0000,224,84,49.609
barenco_tof_10,1000,224,84,17.585
barenco_tof_10,0100,224,84,49.279
barenco_tof_10,0010,224,84,39.655
barenco_tof_10,1110,224,84,15.957
csla_mux_3,0000,70,50,5.770
csla_mux_3,1000,70,50,2.876
csla_mux_3,0100,70,50,5.756
csla_mux_3,0010,70,50,3.542
csla_mux_3,1110,70,50,1.669
csum_mux_9,0000,196,72,26.847
csum_mux_9,1000,196,72,10.806
csum_mux_9,0100,196,72,26.634
csum_mux_9,0010,196,72,23.393
csum_mux_9,1110,196,72,9.874
gf2^4_mult,0000,112,54,1.002
gf2^4_mult,1000,112,54,.552
gf2^4_mult,0100,112,54,.909
gf2^4_mult,0010,112,54,.912
gf2^4_mult,1110,112,54,.384
gf2^5_mult,0000,175,84,5.061
gf2^5_mult,1000,175,84,2.716
gf2^5_mult,0100,175,84,4.707
gf2^5_mult,0010,175,86,5.201
gf2^5_mult,1110,175,86,3.180
gf2^6_mult,0000,252,119,26.451
gf2^6_mult,1000,252,119,12.994
gf2^6_mult,0100,252,119,25.948
gf2^6_mult,0010,252,124,20.863
gf2^6_mult,1110,252,124,10.365
gf2^7_mult,0000,343,167,91.176
gf2^7_mult,1000,343,167,39.112
gf2^7_mult,0100,343,167,90.335
gf2^7_mult,0010,343,170,73.850
gf2^7_mult,1110,343,170,35.104
gf2^8_mult,0000,448,229,344.509
gf2^8_mult,1000,448,229,141.306
gf2^8_mult,0100,448,229,341.623
gf2^8_mult,0010,448,222,256.210
gf2^8_mult,1110,448,222,105.838
gf2^9_mult,0000,567,294,1702.760
gf2^9_mult,1000,567,294,630.133
gf2^9_mult,0100,567,294,1666.573
gf2^9_mult,0010,567,275,701.838
gf2^9_mult,1110,567,275,256.890
grover_5,0000,336,144,1940.627
grover_5,1000,336,144,181.444
grover_5,0100,336,144,1897.614
grover_5,0010,336,144,1417.659
grover_5,1110,336,144,195.710
