circuit,variant,p,algorithm,input_tcount,output_tcount,total_exec_ms,total_exec_s,overall_exec_s,pairs_tested,sketch_filtered,sketch_skip_reuse,full_after_sketch,full_after_sketch_rate_pct,filtered_miss,nullspace_runs,rebuild_count,local_add_count,basis_update_count,basis_reuse_rate_pct,aa_ms,sketch_ms,sketch_build_ms,sketch_basis_ms,sketch_mem_ms,sketch_other_ms,chi_update_ms,basis_work_ms,nullspace_ms,sketch_rej_rate_pct,avg_sketch_rows,avg_sketch_basis,avg_affected_rows,avg_active_rows,reuse_mem_reject,reuse_ns_runs,reuse_no_pair_y,reuse_no_reduce,reuse_reduced,reuse_mem_rej_rate_pct,reuse_no_red_rate_pct,fail_count,outfile
barenco_tof_3.tfc,baseline,,lx2_dynamic_repair_chi_packed_aa,16,14,2,0.002,0.004371,116,,,116,100.000,115,1,70,46,116,39.655,0.008,,,,,,2.666,2.666,0.037,,,,207.843,347.793,,,,,,,,0,/home/ryo-mtmt/TOpt/forme/sketch_experiments/aa_sketch_detail_20260618_032309/logs/barenco_tof_3_lx2_dynamic_repair_chi_packed_aa.out
barenco_tof_3.tfc,reuse,3,lx2_dynamic_repair_chi_packed_aa_sketch_3,16,14,3,0.003,0.005238,116,28,0,88,75.862,87,1,61,27,88,30.682,0.013,1.067,0.528,0.001,0,0.538,2.388,2.388,0.039,24.1379,14.7586,6.82759,243.184,358.227,0,0,0,0,0,,,0,/home/ryo-mtmt/TOpt/forme/sketch_experiments/aa_sketch_detail_20260618_032309/logs/barenco_tof_3_lx2_dynamic_repair_chi_packed_aa_sketch_3.out
barenco_tof_3.tfc,noreuse,3,lx2_dynamic_repair_chi_packed_aa_sketch_noreuse_3,16,14,4,0.004,0.00574,116,28,0,88,75.862,87,1,88,0,88,0.000,0.011,1.074,0.53,0.001,0,0.543,2.901,2.901,0.05,24.1379,14.7586,6.82759,0,358.227,0,0,0,0,0,,,0,/home/ryo-mtmt/TOpt/forme/sketch_experiments/aa_sketch_detail_20260618_032309/logs/barenco_tof_3_lx2_dynamic_repair_chi_packed_aa_sketch_noreuse_3.out
barenco_tof_3.tfc,reuse,5,lx2_dynamic_repair_chi_packed_aa_sketch_5,16,14,3,0.003,0.004694,116,45,0,71,61.207,70,1,46,25,71,35.211,0.013,1.241,0.534,0.02,0,0.687,1.708,1.708,0.039,38.7931,19.4828,7.75862,230.571,330.817,0,0,0,0,0,,,0,/home/ryo-mtmt/TOpt/forme/sketch_experiments/aa_sketch_detail_20260618_032309/logs/barenco_tof_3_lx2_dynamic_repair_chi_packed_aa_sketch_5.out
barenco_tof_3.tfc,noreuse,5,lx2_dynamic_repair_chi_packed_aa_sketch_noreuse_5,16,14,3,0.003,0.005216,116,45,0,71,61.207,70,1,71,0,71,0.000,0.012,1.255,0.551,0.001,0,0.703,2.173,2.173,0.04,38.7931,19.4828,7.75862,0,330.817,0,0,0,0,0,,,0,/home/ryo-mtmt/TOpt/forme/sketch_experiments/aa_sketch_detail_20260618_032309/logs/barenco_tof_3_lx2_dynamic_repair_chi_packed_aa_sketch_noreuse_5.out
barenco_tof_3.tfc,reuse,8,lx2_dynamic_repair_chi_packed_aa_sketch_8,16,14,2,0.002,0.004395,116,65,0,51,43.966,50,1,33,18,51,35.294,0.013,1.481,0.542,0.001,0,0.938,1.13,1.13,0.039,56.0345,28.3879,8.76724,221.96,299.412,0,0,0,0,0,,,0,/home/ryo-mtmt/TOpt/forme/sketch_experiments/aa_sketch_detail_20260618_032309/logs/barenco_tof_3_lx2_dynamic_repair_chi_packed_aa_sketch_8.out
barenco_tof_3.tfc,noreuse,8,lx2_dynamic_repair_chi_packed_aa_sketch_noreuse_8,16,14,3,0.003,0.004673,116,65,0,51,43.966,50,1,51,0,51,0.000,0.013,1.493,0.534,0.001,0,0.958,1.436,1.436,0.04,56.0345,28.3879,8.76724,0,299.412,0,0,0,0,0,,,0,/home/ryo-mtmt/TOpt/forme/sketch_experiments/aa_sketch_detail_20260618_032309/logs/barenco_tof_3_lx2_dynamic_repair_chi_packed_aa_sketch_noreuse_8.out
barenco_tof_3.tfc,reuse,10,lx2_dynamic_repair_chi_packed_aa_sketch_10,16,14,2,0.002,0.004293,116,76,0,40,34.483,39,1,26,14,40,35.000,0.012,1.683,0.547,0.001,0,1.135,0.865,0.865,0.039,65.5172,35.1034,9.26724,214.923,287.575,0,0,0,0,0,,,0,/home/ryo-mtmt/TOpt/forme/sketch_experiments/aa_sketch_detail_20260618_032309/logs/barenco_tof_3_lx2_dynamic_repair_chi_packed_aa_sketch_10.out
barenco_tof_3.tfc,noreuse,10,lx2_dynamic_repair_chi_packed_aa_sketch_noreuse_10,16,14,3,0.003,0.004532,116,76,0,40,34.483,39,1,40,0,40,0.000,0.012,1.691,0.551,0.005,0,1.135,1.09,1.09,0.041,65.5172,35.1034,9.26724,0,287.575,0,0,0,0,0,,,0,/home/ryo-mtmt/TOpt/forme/sketch_experiments/aa_sketch_detail_20260618_032309/logs/barenco_tof_3_lx2_dynamic_repair_chi_packed_aa_sketch_noreuse_10.out
barenco_tof_3.tfc,reuse,13,lx2_dynamic_repair_chi_packed_aa_sketch_13,16,14,2,0.002,0.004314,116,91,0,25,21.552,24,1,18,7,25,28.000,0.013,1.98,0.55,0.007,0,1.423,0.628,0.628,0.038,78.4483,45.7241,9.91379,228.417,280,0,0,0,0,0,,,0,/home/ryo-mtmt/TOpt/forme/sketch_experiments/aa_sketch_detail_20260618_032309/logs/barenco_tof_3_lx2_dynamic_repair_chi_packed_aa_sketch_13.out
