circuit,algorithm,input_tcount,output_tcount,total_exec_ms,overall_exec_s,pairs_tested,sketch_filtered,filtered_miss,nullspace_runs,rebuild_count,local_add_count,aa_ms,sketch_ms,chi_update_ms,basis_work_ms,nullspace_ms,sketch_rej_rate_pct,avg_sketch_rows,avg_sketch_basis,avg_affected_rows,avg_active_rows,fail_count,outfile
barenco_tof_3,lx2_dynamic_repair_chi_packed_aa,28,14,3,0.004442,116,,115,1,70,46,0.01,,2.678,2.678,0.043,,,,207.843,347.793,0,/home/ryo-mtmt/TOpt/forme/sketch_experiments/aa_sketch_multi_20260603_135857/barenco_tof_3_lx2_dynamic_repair_chi_packed_aa.out
barenco_tof_3,lx2_dynamic_repair_chi_packed_aa_sketch_5,28,14,3,0.004504,116,45,70,1,46,25,0.01,0.972,1.738,1.738,0.039,38.7931,19.4828,7.75862,230.571,330.817,0,/home/ryo-mtmt/TOpt/forme/sketch_experiments/aa_sketch_multi_20260603_135857/barenco_tof_3_lx2_dynamic_repair_chi_packed_aa_sketch_5.out
barenco_tof_3,lx2_dynamic_repair_chi_packed_aa_sketch_8,28,14,2,0.004067,116,65,50,1,33,18,0.009,1.116,1.212,1.212,0.038,56.0345,28.3879,8.76724,221.96,299.412,0,/home/ryo-mtmt/TOpt/forme/sketch_experiments/aa_sketch_multi_20260603_135857/barenco_tof_3_lx2_dynamic_repair_chi_packed_aa_sketch_8.out
barenco_tof_3,lx2_dynamic_repair_chi_packed_aa_sketch_10,28,14,2,0.003969,116,76,39,1,26,14,0.009,1.286,0.878,0.878,0.041,65.5172,35.1034,9.26724,214.923,287.575,0,/home/ryo-mtmt/TOpt/forme/sketch_experiments/aa_sketch_multi_20260603_135857/barenco_tof_3_lx2_dynamic_repair_chi_packed_aa_sketch_10.out
barenco_tof_3,lx2_dynamic_repair_chi_packed_aa_sketch_13,28,14,2,0.003752,116,91,24,1,18,7,0.009,1.37,0.634,0.634,0.039,78.4483,45.7241,9.91379,228.417,280,0,/home/ryo-mtmt/TOpt/forme/sketch_experiments/aa_sketch_multi_20260603_135857/barenco_tof_3_lx2_dynamic_repair_chi_packed_aa_sketch_13.out
barenco_tof_3,lx2_dynamic_repair_chi_packed_aa_sketch_15,28,14,2,0.003809,116,92,23,1,17,7,0.009,1.478,0.599,0.599,0.04,79.3103,52.8103,10.0862,225.478,275.542,0,/home/ryo-mtmt/TOpt/forme/sketch_experiments/aa_sketch_multi_20260603_135857/barenco_tof_3_lx2_dynamic_repair_chi_packed_aa_sketch_15.out
barenco_tof_4,lx2_dynamic_repair_chi_packed_aa,56,24,41,0.053306,356,,354,2,263,93,0.023,,39.914,39.914,0.237,,,,1008.37,1561.85,0,/home/ryo-mtmt/TOpt/forme/sketch_experiments/aa_sketch_multi_20260603_135857/barenco_tof_4_lx2_dynamic_repair_chi_packed_aa.out
barenco_tof_4,lx2_dynamic_repair_chi_packed_aa_sketch_5,56,24,34,0.046974,356,149,205,2,164,43,0.024,9.361,24.166,24.166,0.245,41.8539,78.5871,16.4326,1161.11,1471.75,0,/home/ryo-mtmt/TOpt/forme/sketch_experiments/aa_sketch_multi_20260603_135857/barenco_tof_4_lx2_dynamic_repair_chi_packed_aa_sketch_5.out
barenco_tof_4,lx2_dynamic_repair_chi_packed_aa_sketch_8,56,24,26,0.03841,356,234,120,2,99,23,0.022,11.68,13.408,13.408,0.243,65.7303,125.565,18.4382,1202.09,1318.52,0,/home/ryo-mtmt/TOpt/forme/sketch_experiments/aa_sketch_multi_20260603_135857/barenco_tof_4_lx2_dynamic_repair_chi_packed_aa_sketch_8.out
barenco_tof_4,lx2_dynamic_repair_chi_packed_aa_sketch_10,56,24,23,0.03574,356,266,88,2,74,16,0.024,13.095,9.441,9.441,0.24,74.7191,156.719,19.1826,1199.45,1232.6,0,/home/ryo-mtmt/TOpt/forme/sketch_experiments/aa_sketch_multi_20260603_135857/barenco_tof_4_lx2_dynamic_repair_chi_packed_aa_sketch_10.out
