circuit,algorithm,input_tcount,output_tcount,exec_ms,exec_s,chi_ms,aa_ms,nullspace_ms,sketch_mode,sketch_attempts,sketch_skipped,sketch_rejected,sketch_passed,sketch_rows_avg,sketch_y_vectors,sketch_y_full_ok,sketch_y_full_ng,sketch_y_reduced,full_ns_skipped,full_ns_computed,sketch_ms,fail_count,outfile
gf2^7_mult,todd_exp_packedlocal_diff_1110,343,164,41225,42.2782,2789.1,0.759,38299.3,,,,,,,,,,,,,,,/home/ryo-mtmt/TOpt/forme/sketch_experiments/gf2_7_mult_20260528_041037/todd_exp_packedlocal_diff_1110.out
gf2^7_mult,todd_exp_packedlocal_diff_1111_m16,343,164,43643,44.687,2717.94,0.73,38317.5,margin(16),16298,0,0,16298,180.891,1812829,0,100876,0,0,16298,2467.61,,/home/ryo-mtmt/TOpt/forme/sketch_experiments/gf2_7_mult_20260528_041037/todd_exp_packedlocal_diff_1111_m16.out
gf2^7_mult,todd_exp_packedlocal_diff_1111_m32,343,164,43559,44.5999,2732.45,0.762,38108.4,margin(32),16298,0,0,16298,196.891,1749957,0,107156,0,0,16298,2571.66,,/home/ryo-mtmt/TOpt/forme/sketch_experiments/gf2_7_mult_20260528_041037/todd_exp_packedlocal_diff_1111_m32.out
gf2^7_mult,todd_exp_packedlocal_diff_1111_m64,343,164,43254,44.3041,2706.64,0.733,37664.9,margin(64),16298,0,0,16298,228.891,1629489,0,118274,0,0,16298,2744.45,,/home/ryo-mtmt/TOpt/forme/sketch_experiments/gf2_7_mult_20260528_041037/todd_exp_packedlocal_diff_1111_m64.out
gf2^7_mult,todd_exp_packedlocal_diff_1111_r128,343,164,44421,45.4554,2830.03,0.762,38976.9,fixed(128),16298,0,0,16298,164.891,1878226,0,95080,0,0,16298,2471.44,,/home/ryo-mtmt/TOpt/forme/sketch_experiments/gf2_7_mult_20260528_041037/todd_exp_packedlocal_diff_1111_r128.out
gf2^7_mult,todd_exp_packedlocal_diff_1111_r256,343,164,44000,45.0488,2751.72,0.733,38150.2,fixed(256),16298,0,0,16298,256,1532361,0,127732,0,0,16298,2958.31,,/home/ryo-mtmt/TOpt/forme/sketch_experiments/gf2_7_mult_20260528_041037/todd_exp_packedlocal_diff_1111_r256.out
gf2^7_mult,todd_exp_packedlocal_diff_1111_r512,343,164,44561,45.6152,2668.26,0.717,37311.3,fixed(512),16298,0,0,16298,512,820811,0,155150,0,0,16298,4445.11,,/home/ryo-mtmt/TOpt/forme/sketch_experiments/gf2_7_mult_20260528_041037/todd_exp_packedlocal_diff_1111_r512.out
gf2^7_mult,todd_exp_packedlocal_diff_1111_p5,343,164,46584,47.6348,2697.71,0.744,37669.5,percent(5),16298,0,0,16298,733.06,505802,0,88794,0,0,16298,6073.67,,/home/ryo-mtmt/TOpt/forme/sketch_experiments/gf2_7_mult_20260528_041037/todd_exp_packedlocal_diff_1111_p5.out
gf2^7_mult,todd_exp_packedlocal_diff_1111_p10,343,164,50692,51.7017,2649.17,0.461,37057.5,percent(10),16298,0,0,16298,1465.59,130847,1,16724,1,0,16297,10884.1,,/home/ryo-mtmt/TOpt/forme/sketch_experiments/gf2_7_mult_20260528_041037/todd_exp_packedlocal_diff_1111_p10.out
gf2^7_mult,todd_exp_packedlocal_diff_1111_p20,343,164,59440,60.6091,2639.47,0.442,37168.9,percent(20),16298,0,0,16298,2930.33,48118,3,1456,3,0,16295,19534.7,,/home/ryo-mtmt/TOpt/forme/sketch_experiments/gf2_7_mult_20260528_041037/todd_exp_packedlocal_diff_1111_p20.out
