circuit,algorithm,input_tcount,output_tcount,exec_ms,exec_s,chi_ms,aa_ms,nullspace_ms,sketch_mode,sketch_attempts,sketch_skipped,sketch_rejected,sketch_rank_rejected,sketch_pair_rejected,sketch_passed,sketch_rows_avg,sketch_y_vectors,sketch_pair_y,sketch_y_full_ok,sketch_y_full_ng,sketch_y_reduced,full_ns_skipped,full_ns_computed,sketch_ms,fail_count,outfile
gf2^7_mult,todd_exp_packedlocal_diff_1110,343,164,40942,42.0081,2768.45,0.786,38032.8,,,,,,,,,,,,,,,,,0,/home/ryo-mtmt/TOpt/forme/sketch_experiments/gf2_7_mult_20260528_043245/todd_exp_packedlocal_diff_1110.out
gf2^7_mult,todd_exp_packedlocal_diff_1111_m16,343,167,80368,81.3982,4955.16,0.56,70813.7,margin(16),28781,0,74,0,74,28707,184.529,3270729,240653,0,240653,0,74,28707,4457.38,0,/home/ryo-mtmt/TOpt/forme/sketch_experiments/gf2_7_mult_20260528_043245/todd_exp_packedlocal_diff_1111_m16.out
gf2^7_mult,todd_exp_packedlocal_diff_1111_m32,343,167,81187,82.2141,4991.3,0.63,71382.1,margin(32),28781,0,83,0,83,28698,200.529,3160154,254122,0,254122,0,83,28698,4662.97,0,/home/ryo-mtmt/TOpt/forme/sketch_experiments/gf2_7_mult_20260528_043245/todd_exp_packedlocal_diff_1111_m32.out
gf2^7_mult,todd_exp_packedlocal_diff_1111_m64,343,170,37552,38.6015,2298.49,0.709,32823.1,margin(64),13012,0,34,0,34,12978,234.076,1353726,93266,0,93266,0,34,12978,2298.3,0,/home/ryo-mtmt/TOpt/forme/sketch_experiments/gf2_7_mult_20260528_043245/todd_exp_packedlocal_diff_1111_m64.out
gf2^7_mult,todd_exp_packedlocal_diff_1111_r128,343,167,81202,82.2336,4953.59,0.655,71805.3,fixed(128),28781,0,66,0,66,28715,168.529,3385380,225985,0,225985,0,66,28715,4290.17,0,/home/ryo-mtmt/TOpt/forme/sketch_experiments/gf2_7_mult_20260528_043245/todd_exp_packedlocal_diff_1111_r128.out
gf2^7_mult,todd_exp_packedlocal_diff_1111_r256,343,171,42334,43.4487,2418.98,0.611,37267.3,fixed(256),13348,0,53,0,53,13295,256,1316355,150584,0,150584,0,53,13295,2529.12,0,/home/ryo-mtmt/TOpt/forme/sketch_experiments/gf2_7_mult_20260528_043245/todd_exp_packedlocal_diff_1111_r256.out
gf2^7_mult,todd_exp_packedlocal_diff_1111_r512,343,172,62121,63.1706,3394.18,0.539,52918.6,fixed(512),19714,0,226,0,226,19488,512,1089208,247495,1,247494,1,227,19487,5689.84,0,/home/ryo-mtmt/TOpt/forme/sketch_experiments/gf2_7_mult_20260528_043245/todd_exp_packedlocal_diff_1111_r512.out
gf2^7_mult,todd_exp_packedlocal_diff_1111_p5,343,167,79837,80.868,4954.24,0.651,63152.5,percent(5),28781,0,2521,0,2521,26260,787.109,804718,193531,0,193531,0,2521,26260,11580.1,0,/home/ryo-mtmt/TOpt/forme/sketch_experiments/gf2_7_mult_20260528_043245/todd_exp_packedlocal_diff_1111_p5.out
gf2^7_mult,todd_exp_packedlocal_diff_1111_p10,343,172,19067,20.1654,2540.17,0.691,5828.99,percent(10),14704,0,11379,0,11379,3325,1539.57,102045,13618,0,13618,0,11379,3325,10569.9,0,/home/ryo-mtmt/TOpt/forme/sketch_experiments/gf2_7_mult_20260528_043245/todd_exp_packedlocal_diff_1111_p10.out
gf2^7_mult,todd_exp_packedlocal_diff_1111_p20,343,175,25996,27.0968,2700.86,0.443,579.047,percent(20),15332,0,14872,0,14872,460,3287.64,29166,1481,2,1479,2,14874,458,22627.7,0,/home/ryo-mtmt/TOpt/forme/sketch_experiments/gf2_7_mult_20260528_043245/todd_exp_packedlocal_diff_1111_p20.out
