circuit,algorithm,input_tcount,output_tcount,total_exec_ms,overall_exec_s,chi_ms,aa_ms,nullspace_ms,sketch_ms,reject_rate_pct,sketch_mode,sketch_attempts,sketch_skipped,sketch_rejected,sketch_rank_rejected,sketch_pair_rejected,pair_reject_rate_pct,sketch_passed,sketch_rows_avg,sketch_y_vectors,sketch_pair_y,sketch_y_full_ok,sketch_y_full_ng,sketch_y_reduced,full_ns_skipped,full_ns_skip_rate_pct,full_ns_computed,fail_count,outfile
barenco_tof_3,todd_exp_packedlocal_diff_1110,28,14,3,0.005092,0.849,0.011,2.507,,,,,,,,,,,,,,,,,,,,0,/home/ryo-mtmt/TOpt/forme/sketch_experiments/multi_20260528_070953/barenco_tof_3_todd_exp_packedlocal_diff_1110.out
barenco_tof_3,todd_exp_packedlocal_diff_1111_p5,28,14,4,0.005669,0.858,0.009,1.833,1.245,35.71,percent(5),84,0,30,0,30,35.71,54,20.3095,535,112,0,112,0,30,35.71,54,0,/home/ryo-mtmt/TOpt/forme/sketch_experiments/multi_20260528_070953/barenco_tof_3_todd_exp_packedlocal_diff_1111_p5.out
barenco_tof_3,todd_exp_packedlocal_diff_1111_p10,28,14,3,0.005059,0.88,0.009,0.766,1.692,72.34,percent(10),94,0,68,0,68,72.34,26,37.1277,452,51,1,50,1,69,73.40,25,0,/home/ryo-mtmt/TOpt/forme/sketch_experiments/multi_20260528_070953/barenco_tof_3_todd_exp_packedlocal_diff_1111_p10.out
barenco_tof_3,todd_exp_packedlocal_diff_1111_p15,28,14,4,0.005329,0.86,0.01,0.363,2.225,86.14,percent(15),101,0,87,0,87,86.14,14,54.7426,419,27,1,26,1,88,87.13,13,0,/home/ryo-mtmt/TOpt/forme/sketch_experiments/multi_20260528_070953/barenco_tof_3_todd_exp_packedlocal_diff_1111_p15.out
barenco_tof_3,todd_exp_packedlocal_diff_1111_p20,28,14,4,0.00565,0.858,0.01,0.182,2.806,92.66,percent(20),109,0,101,0,101,92.66,8,72.3028,415,15,1,14,1,102,93.58,7,0,/home/ryo-mtmt/TOpt/forme/sketch_experiments/multi_20260528_070953/barenco_tof_3_todd_exp_packedlocal_diff_1111_p20.out
barenco_tof_4,todd_exp_packedlocal_diff_1110,56,24,54,0.066184,10.48,0.022,43.106,,,,,,,,,,,,,,,,,,,,0,/home/ryo-mtmt/TOpt/forme/sketch_experiments/multi_20260528_070953/barenco_tof_4_todd_exp_packedlocal_diff_1110.out
barenco_tof_4,todd_exp_packedlocal_diff_1111_p5,56,24,49,0.060345,10.688,0.022,25.272,11.819,39.21,percent(5),278,0,109,0,109,39.21,169,87.9029,1851,370,0,370,0,109,39.21,169,0,/home/ryo-mtmt/TOpt/forme/sketch_experiments/multi_20260528_070953/barenco_tof_4_todd_exp_packedlocal_diff_1111_p5.out
barenco_tof_4,todd_exp_packedlocal_diff_1111_p10,56,24,39,0.050842,11.235,0.021,8.443,18.489,77.52,percent(10),307,0,238,0,238,77.52,69,169.055,1381,142,0,142,0,238,77.52,69,0,/home/ryo-mtmt/TOpt/forme/sketch_experiments/multi_20260528_070953/barenco_tof_4_todd_exp_packedlocal_diff_1111_p10.out
barenco_tof_4,todd_exp_packedlocal_diff_1111_p15,56,24,42,0.053178,11.197,0.021,3.866,25.404,88.68,percent(15),318,0,282,0,282,88.68,36,248.626,1223,78,0,78,0,282,88.68,36,0,/home/ryo-mtmt/TOpt/forme/sketch_experiments/multi_20260528_070953/barenco_tof_4_todd_exp_packedlocal_diff_1111_p15.out
barenco_tof_4,todd_exp_packedlocal_diff_1111_p20,56,24,47,0.058483,11.915,0.021,1.554,32.029,95.27,percent(20),338,0,322,0,322,95.27,16,320.107,1236,36,0,36,0,322,95.27,16,0,/home/ryo-mtmt/TOpt/forme/sketch_experiments/multi_20260528_070953/barenco_tof_4_todd_exp_packedlocal_diff_1111_p20.out
barenco_tof_5,todd_exp_packedlocal_diff_1110,84,34,291,0.364761,46.871,0.046,242.39,,,,,,,,,,,,,,,,,,,,0,/home/ryo-mtmt/TOpt/forme/sketch_experiments/multi_20260528_070953/barenco_tof_5_todd_exp_packedlocal_diff_1110.out
barenco_tof_5,todd_exp_packedlocal_diff_1111_p5,84,34,246,0.318122,47.973,0.049,133.246,61.575,43.84,percent(5),593,0,260,0,260,43.84,333,227.791,4194,706,0,706,0,260,43.84,333,0,/home/ryo-mtmt/TOpt/forme/sketch_experiments/multi_20260528_070953/barenco_tof_5_todd_exp_packedlocal_diff_1111_p5.out
barenco_tof_5,todd_exp_packedlocal_diff_1111_p10,84,34,186,0.259006,50.358,0.047,36.95,96.069,80.47,percent(10),640,0,515,0,515,80.47,125,436.283,3063,256,0,256,0,515,80.47,125,0,/home/ryo-mtmt/TOpt/forme/sketch_experiments/multi_20260528_070953/barenco_tof_5_todd_exp_packedlocal_diff_1111_p10.out
barenco_tof_5,todd_exp_packedlocal_diff_1111_p15,84,34,203,0.276205,52.663,0.047,13.423,134.55,91.00,percent(15),667,0,607,0,607,91.00,60,638.967,2690,124,0,124,0,607,91.00,60,0,/home/ryo-mtmt/TOpt/forme/sketch_experiments/multi_20260528_070953/barenco_tof_5_todd_exp_packedlocal_diff_1111_p15.out
barenco_tof_5,todd_exp_packedlocal_diff_1111_p20,84,34,235,0.306054,54.737,0.043,5.845,172.027,95.79,percent(20),689,0,660,0,660,95.79,29,832.955,2530,59,1,58,1,661,95.94,28,0,/home/ryo-mtmt/TOpt/forme/sketch_experiments/multi_20260528_070953/barenco_tof_5_todd_exp_packedlocal_diff_1111_p20.out
barenco_tof_10,todd_exp_packedlocal_diff_1110,224,84,28753,41.4912,2077.47,0.482,26641.7,,,,,,,,,,,,,,,,,,,,0,/home/ryo-mtmt/TOpt/forme/sketch_experiments/multi_20260528_070953/barenco_tof_10_todd_exp_packedlocal_diff_1110.out
barenco_tof_10,todd_exp_packedlocal_diff_1111_p5,224,84,12966,25.7527,1714.79,0.345,7955.54,3269,56.19,percent(5),4202,0,2361,0,2361,56.19,1841,2144.28,47978,3906,0,3906,0,2361,56.19,1841,0,/home/ryo-mtmt/TOpt/forme/sketch_experiments/multi_20260528_070953/barenco_tof_10_todd_exp_packedlocal_diff_1111_p5.out
