Distance,0,1,2,3,4,5,6,7,8,9,10
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,235.0,181.0,143.0,134.0,121.0,116.0,97.0,86.0,83.0,70.0,65.0
2,864.0,653.0,448.0,411.0,349.0,335.0,242.0,204.0,178.0,144.0,135.0
3,1810.0,1494.0,1030.0,983.0,867.0,825.0,614.0,567.0,466.0,363.0,361.0
4,2960.0,2535.0,1967.0,1835.0,1595.0,1530.0,1284.0,1244.0,1109.0,838.0,843.0
5,2779.0,2888.0,2623.0,2529.0,2352.0,2260.0,2053.0,1986.0,1820.0,1487.0,1505.0
6,2609.0,2634.0,2529.0,2469.0,2535.0,2463.0,2396.0,2337.0,2262.0,2061.0,2153.0
7,2269.0,2347.0,2185.0,2129.0,2213.0,2216.0,2235.0,2195.0,2187.0,2219.0,2306.0
8,1708.0,1858.0,1684.0,1697.0,1761.0,1806.0,1776.0,1754.0,1787.0,2071.0,2148.0
9,1408.0,1535.0,1360.0,1352.0,1405.0,1416.0,1367.0,1363.0,1408.0,1643.0,1666.0
10,1144.0,1219.0,1108.0,1126.0,1128.0,1101.0,1074.0,1074.0,1079.0,1158.0,1079.0
11,910.0,908.0,854.0,886.0,866.0,854.0,855.0,866.0,855.0,885.0,731.0
12,690.0,667.0,663.0,683.0,683.0,639.0,631.0,629.0,607.0,621.0,461.0
13,509.0,463.0,474.0,472.0,468.0,432.0,425.0,398.0,372.0,371.0,250.0
14,324.0,278.0,283.0,279.0,273.0,268.0,229.0,208.0,188.0,171.0,100.0
15,171.0,146.0,146.0,152.0,152.0,149.0,92.0,95.0,90.0,66.0,43.0
16,78.0,68.0,60.0,56.0,56.0,51.0,24.0,35.0,34.0,21.0,12.0
17,28.0,21.0,16.0,11.0,11.0,9.0,5.0,9.0,9.0,6.0,3.0
18,6.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
19,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
